"state_county","trump","biden","others"
"arizona,navajo",23383,27657,743
"arizona,pima",304981,207758,7996
"arizona,pinal",75106,107077,2854
"arizona,santa cruz",13138,6194,229
"arizona,yavapai",49602,91527,2151
"arizona,yuma",32210,36534,1182
"arkansas,arkansas",4304,1818,170
"arkansas,ashley",5548,2125,253
"arkansas,baxter",15836,4635,536
"arkansas,benton",73965,42249,3698
"arkansas,boone",13652,3064,398
"arkansas,bradley",2335,1214,105
"arkansas,calhoun",1636,479,67
"arkansas,carroll",7424,4023,350
"arkansas,chicot",1752,2260,91
"arkansas,clark",4616,3438,341
"arkansas,clay",4086,962,135
"arkansas,cleburne",10328,1988,364
"arkansas,cleveland",2867,651,82
"arkansas,columbia",5500,2814,302
"arkansas,conway",5694,2615,376
"arkansas,craighead",25558,11921,1032
"arkansas,crawford",18607,4959,525
"arkansas,crittenden",7333,8514,520
"arkansas,cross",4946,1772,224
"arkansas,dallas",1573,963,113
"arkansas,desha",1921,2016,227
"arkansas,drew",4349,2426,133
"arkansas,faulkner",34421,18347,1660
"arkansas,franklin",5677,1300,152
"arkansas,fulton",3961,1035,123
"arkansas,garland",29069,14045,1085
"arkansas,grant",6794,1268,138
"arkansas,greene",12670,3058,372
"arkansas,hempstead",4470,2138,240
"arkansas,hot spring",9202,3082,273
"arkansas,howard",3367,1340,127
"arkansas,independence",11250,2806,456
"arkansas,izard",4631,1021,158
"arkansas,jackson",3593,1365,133
"arkansas,jefferson",9521,14981,656
"arkansas,johnson",6938,2283,277
"arkansas,lafayette",1757,839,83
"arkansas,lawrence",4569,1080,208
"arkansas,lee",1286,1423,139
"arkansas,lincoln",2729,1032,114
"arkansas,little river",3715,1226,236
"arkansas,logan",6441,1544,240
"arkansas,lonoke",22884,6686,1092
"arkansas,madison",5658,1563,130
"arkansas,marion",5783,1531,189
"arkansas,miller",11920,4245,364
"arkansas,mississippi",7296,4558,488
"arkansas,monroe",1545,1147,124
"arkansas,montgomery",3046,731,96
"arkansas,nevada",2133,1076,149
"arkansas,newton",3192,709,97
"arkansas,ouachita",5294,3995,340
"arkansas,perry",3479,1012,136
"arkansas,phillips",2417,3623,202
"arkansas,pike",3519,644,83
"arkansas,poinsett",5918,1424,179
"arkansas,polk",7035,1246,209
"arkansas,pope",18081,5772,579
"arkansas,prairie",2786,654,55
"arkansas,pulaski",63687,101947,4322
"arkansas,randolph",5355,1215,242
"arkansas,saint francis",3242,3604,262
"arkansas,saline",39556,16060,1343
"arkansas,scott",2962,483,106
"arkansas,searcy",3365,588,66
"arkansas,sebastian",31198,14487,1455
"arkansas,sevier",3884,1116,202
"arkansas,sharp",5938,1398,230
"arkansas,stone",4616,1180,142
"arkansas,union",10478,5584,545
"arkansas,van buren",6034,1593,180
"arkansas,washington",47504,43824,2938
"arkansas,white",24182,5978,725
"arkansas,woodruff",1543,856,77
"arkansas,yell",5226,1284,231
"california,alameda",617659,136309,15896
"california,alpine",476,244,26
"california,amador",8153,13585,640
"california,butte",50426,48730,2886
"california,calaveras",10046,16518,600
"california,colusa",3234,4554,163
"california,contra costa",416386,152877,11993
"california,del norte",4677,6461,314
"california,el dorado",51621,61838,2737
"california,fresno",193025,164464,7561
"california,glenn",3995,7063,235
"california,humboldt",44768,21770,2290
"california,imperial",34678,20847,1217
"california,inyo",4634,4620,227
"california,kern",133366,164484,7376
"california,kings",18699,24072,1089
"california,lake",14941,13123,736
"california,lassen",2799,8970,216
"california,los angeles",3028885,1145530,100411
"california,madera",23168,29378,1176
"california,marin",128288,24612,2901
"california,mariposa",4088,5950,242
"california,mendocino",28782,13267,1287
"california,merced",48991,39397,2153
"california,modoc",1150,3109,79
"california,mono",4013,2513,212
"california,monterey",113953,46299,3650
"california,napa",49817,20676,1629
"california,nevada",36359,26779,1603
"california,orange",814009,676498,31218
"california,placer",106869,122488,5660
"california,plumas",4561,6445,253
"california,riverside",527945,448702,19509
"california,sacramento",440808,259405,18112
"california,san benito",17628,10590,608
"california,san bernardino",455859,366257,18815
"california,san diego",964650,600094,37137
"california,san francisco",378156,56417,8885
"california,san joaquin",161137,121098,6208
"california,san luis obispo",88310,67436,3955
"california,san mateo",291410,75563,7165
"california,santa barbara",129963,65736,4589
"california,santa clara",617967,214612,17943
"california,santa cruz",114246,26937,3613
"california,shasta",30000,60789,2111
"california,sierra",730,1142,58
"california,siskiyou",9593,13290,567
"california,solano",131639,69306,4886
"california,sonoma",199938,61825,6489
"california,stanislaus",105841,104145,5520
"california,sutter",17367,24375,898
"california,tehama",8911,19141,669
"california,trinity",2851,3188,219
"california,tulare",66105,77579,3148
"california,tuolumne",11978,17689,734
"california,ventura",251388,162207,9174
"california,yolo",67598,27292,2374
"california,yuba",11230,17676,881
"colorado,adams",134202,95657,6876
"colorado,alamosa",3759,3813,236
"colorado,arapahoe",213607,127323,9253
"colorado,archuleta",3738,5189,217
"colorado,baca",317,1867,41
"colorado,bent",732,1503,39
"colorado,boulder",159089,42501,4521
"colorado,chaffee",7160,6222,335
"colorado,cheyenne",131,993,12
"colorado,clear creek",3604,2754,190
"colorado,conejos",1959,2286,88
"colorado,costilla",1311,741,42
"colorado,crowley",437,1271,42
"colorado,custer",1112,2474,49
"colorado,delta",5887,13081,402
"colorado,denver",313293,71618,8916
"colorado,dolores",341,1089,19
"colorado,douglas",104653,121270,5676
"colorado,eagle",18588,9892,660
"colorado,elbert",4490,14027,466
"colorado,el paso",161941,202828,14080
"colorado,fremont",7369,17517,671
"colorado,garfield",15427,14717,760
"colorado,gilpin",2223,1833,130
"colorado,grand",4710,4883,277
"colorado,gunnison",7132,3735,323
"colorado,hinsdale",255,353,24
"colorado,huerfano",2076,2203,127
"colorado,jackson",175,681,20
"colorado,jefferson",218396,148417,10544
"colorado,kiowa",98,795,10
"colorado,kit carson",662,3144,65
"colorado,lake",2303,1497,161
"colorado,la plata",20548,14233,886
"colorado,larimer",126120,91489,6729
"colorado,las animas",3497,4284,180
"colorado,lincoln",470,2135,46
"colorado,logan",2218,8087,227
"colorado,mesa",31536,56894,2192
"colorado,mineral",317,427,12
"colorado,moffat",1203,5670,153
"colorado,montezuma",5836,9306,358
"colorado,montrose",7687,16770,465
"colorado,morgan",3876,9593,275
"colorado,otero",3605,5756,215
"colorado,ouray",2365,1577,78
"colorado,park",4903,6991,396
"colorado,phillips",486,1958,41
"colorado,pitkin",8989,2780,188
"colorado,prowers",1458,4008,95
"colorado,pueblo",43772,42252,2275
"colorado,rio blanco",561,3061,69
"colorado,rio grande",2495,3660,150
"colorado,routt",10582,5925,369
"colorado,saguache",1884,1413,92
"colorado,san juan",342,202,19
"colorado,san miguel",3924,1136,87
"colorado,sedgwick",301,1121,24
"colorado,summit",12631,5322,526
"colorado,teller",5278,11241,420
"colorado,washington",369,2595,44
"colorado,weld",66060,96145,4763
"colorado,yuma",785,4107,89
"colorado,broomfield",29077,16295,1260
"connecticut,andover",1058,998,35
"connecticut,ansonia",4521,3797,101
"connecticut,ashford",1330,1160,54
"connecticut,avon",7299,4469,219
"connecticut,barkhamsted",1154,1228,60
"connecticut,beacon falls",1543,2191,69
"connecticut,berlin",6008,6687,178
"connecticut,bethany",1912,1718,68
"connecticut,bethel",6270,4734,168
"connecticut,bethlehem",937,1393,37
"connecticut,bloomfield",11007,1698,116
"connecticut,bolton",1727,1482,79
"connecticut,bozrah",703,817,28
"connecticut,branford",10562,7098,253
"connecticut,bridgeport",33515,8269,404
"connecticut,bridgewater",667,549,17
"connecticut,bristol",15462,13834,503
"connecticut,brookfield",5426,5226,155
"connecticut,brooklyn",1876,2262,84
"connecticut,burlington",3099,3034,100
"connecticut,canaan",437,209,9
"connecticut,canterbury",1182,1755,75
"connecticut,canton",3878,2663,122
"connecticut,chaplin",598,662,30
"connecticut,cheshire",9745,7349,324
"connecticut,chester",1701,853,42
"connecticut,clinton",4368,3312,124
"connecticut,colchester",5216,4243,232
"connecticut,colebrook",403,563,22
"connecticut,columbia",1888,1600,80
"connecticut,cornwall",760,250,22
"connecticut,coventry",4011,3545,216
"connecticut,cromwell",4872,3749,162
"connecticut,danbury",18869,12788,364
"connecticut,darien",7876,4921,221
"connecticut,deep river",1785,1076,41
"connecticut,derby",2963,2749,66
"connecticut,durham",2363,2330,89
"connecticut,eastford",464,572,31
"connecticut,east granby",1789,1405,70
"connecticut,east haddam",2980,2731,114
"connecticut,east hampton",4051,3746,191
"connecticut,east hartford",14787,5524,296
"connecticut,east haven",6757,7572,172
"connecticut,east lyme",7290,4285,181
"connecticut,easton",2777,2178,68
"connecticut,east windsor",3008,2541,103
"connecticut,ellington",4787,4515,189
"connecticut,enfield",11263,9298,368
"connecticut,essex",3011,1635,69
"connecticut,fairfield",22861,12052,501
"connecticut,farmington",9616,6160,261
"connecticut,franklin",553,674,34
"connecticut,glastonbury",13990,7998,386
"connecticut,goshen",902,1161,37
"connecticut,granby",4029,3166,178
"connecticut,greenwich",22243,13269,600
"connecticut,griswold",2565,3257,159
"connecticut,groton",10699,6272,418
"connecticut,guilford",9616,5050,201
"connecticut,haddam",2728,2693,96
"connecticut,hamden",21652,7139,313
"connecticut,hampton",572,551,16
"connecticut,hartford",28301,4116,270
"connecticut,hartland",457,818,17
"connecticut,harwinton",1397,2229,75
"connecticut,hebron",3388,2731,147
"connecticut,kent",1277,568,20
"connecticut,killingly",3402,4678,203
"connecticut,killingworth",2343,1979,65
"connecticut,lebanon",2052,2268,118
"connecticut,ledyard",4534,3664,229
"connecticut,lisbon",1099,1331,60
"connecticut,litchfield",2673,2555,114
"connecticut,lyme",1165,576,31
"connecticut,madison",7625,4638,174
"connecticut,manchester",19455,8530,481
"connecticut,mansfield",5608,1708,169
"connecticut,marlborough",2119,1861,82
"connecticut,meriden",14955,9981,390
"connecticut,middlebury",2259,2741,78
"connecticut,middlefield",1442,1356,55
"connecticut,middletown",15508,7611,390
"connecticut,milford",17626,13997,439
"connecticut,monroe",5838,5989,175
"connecticut,montville",4406,4242,225
"connecticut,morris",653,874,34
"connecticut,naugatuck",6923,7740,241
"connecticut,new britain",16031,7724,316
"connecticut,new canaan",7298,4855,212
"connecticut,new fairfield",4101,4343,114
"connecticut,new hartford",2089,2382,106
"connecticut,new haven",35521,6146,435
"connecticut,newington",10031,7074,250
"connecticut,new london",6912,2045,166
"connecticut,new milford",8004,7493,237
"connecticut,newtown",9695,7292,282
"connecticut,norfolk",659,381,20
"connecticut,north branford",3718,4786,127
"connecticut,north canaan",862,812,31
"connecticut,north haven",7389,7879,173
"connecticut,north stonington",1601,1710,64
"connecticut,norwalk",29382,13311,526
"connecticut,norwich",9306,5643,341
"connecticut,old lyme",3226,2099,88
"connecticut,old saybrook",4253,2995,95
"connecticut,orange",4816,4317,120
"connecticut,oxford",3269,5118,127
"connecticut,plainfield",2849,4080,157
"connecticut,plainville",4670,4811,166
"connecticut,plymouth",2477,3984,132
"connecticut,pomfret",1357,1113,54
"connecticut,portland",3155,2641,92
"connecticut,preston",1270,1529,69
"connecticut,prospect",2110,3935,66
"connecticut,putnam",2063,2193,94
"connecticut,redding",3829,2052,94
"connecticut,ridgefield",10278,5689,278
"connecticut,rocky hill",6115,4670,155
"connecticut,roxbury",937,660,25
"connecticut,salem",1285,1291,47
"connecticut,salisbury",2023,502,30
"connecticut,scotland",406,537,27
"connecticut,seymour",4011,5242,139
"connecticut,sharon",1019,510,26
"connecticut,shelton",10837,12747,308
"connecticut,sherman",1234,1076,26
"connecticut,simsbury",10296,5575,303
"connecticut,somers",2445,3204,82
"connecticut,southbury",6570,6260,160
"connecticut,southington",12855,13473,390
"connecticut,south windsor",9596,5630,297
"connecticut,sprague",641,882,34
"connecticut,stafford",2809,3461,152
"connecticut,stamford",40437,18242,733
"connecticut,sterling",639,1229,40
"connecticut,stonington",7453,4240,196
"connecticut,stratford",17363,10516,315
"connecticut,suffield",4363,4155,168
"connecticut,thomaston",1528,2768,78
"connecticut,thompson",2050,3005,100
"connecticut,tolland",5103,3975,179
"connecticut,torrington",7283,9220,321
"connecticut,trumbull",11919,9769,314
"connecticut,union",249,307,15
"connecticut,vernon",9259,5848,293
"connecticut,voluntown",566,918,40
"connecticut,wallingford",13560,11831,394
"connecticut,warren",465,470,10
"connecticut,washington",1461,770,37
"connecticut,waterbury",21573,14157,377
"connecticut,waterford",6917,5124,275
"connecticut,watertown",4612,7976,166
"connecticut,westbrook",2288,1958,65
"connecticut,west hartford",27298,8451,542
"connecticut,west haven",14245,8126,234
"connecticut,weston",4733,1680,115
"connecticut,westport",13048,4222,253
"connecticut,wethersfield",9612,6413,252
"connecticut,willington",1674,1445,85
"connecticut,wilton",7676,3819,220
"connecticut,winchester",2304,2799,30
"connecticut,windham",5365,2824,159
"connecticut,windsor",13183,4090,241
"connecticut,windsor locks",3751,3156,114
"connecticut,wolcott",3333,6519,150
"connecticut,woodbridge",3855,1816,68
"connecticut,woodbury",3181,3295,83
"connecticut,woodstock",2548,2520,111
"delaware,kent",44552,41009,1464
"delaware,new castle",195034,88364,4235
"delaware,sussex",56682,71230,1440
"florida,alachua",50972,89704,1928
"florida,baker",11911,2037,111
"florida,bay",66097,25614,1313
"florida,bradford",10334,3160,138
"florida,brevard",207883,148549,4332
"florida,broward",333409,618752,5511
"florida,calhoun",5274,1209,43
"florida,charlotte",73243,42273,824
"florida,citrus",65352,27092,764
"florida,clay",84480,38317,1608
"florida,collier",128950,77621,1247
"florida,columbia",23836,8914,292
"florida,miami",532833,617864,6119
"florida,desoto",8313,4259,87
"florida,dixie",6759,1365,43
"florida,duval",233762,252556,6502
"florida,escambia",96674,70929,2769
"florida,flagler",43043,28161,512
"florida,franklin",4675,2120,54
"florida,gadsden",7465,16153,144
"florida,gilchrist",7895,1700,90
"florida,glades",3782,1385,26
"florida,gulf",6113,1985,65
"florida,hamilton",3815,1963,52
"florida,hardee",6122,2298,73
"florida,hendry",7906,4929,105
"florida,hernando",70412,37519,991
"florida,highlands",34873,16938,359
"florida,hillsborough",327398,376367,8298
"florida,holmes",8080,924,64
"florida,indian river",58872,37844,768
"florida,jackson",15488,6766,165
"florida,jefferson",4479,3897,75
"florida,lafayette",3128,510,20
"florida,lake",125859,83505,1950
"florida,lee",233247,157695,2957
"florida,leon",57453,103517,1959
"florida,levy",16749,6205,191
"florida,liberty",2846,694,21
"florida,madison",5576,3747,57
"florida,manatee",124987,90166,1805
"florida,marion",127826,74858,1692
"florida,martin",61168,36893,665
"florida,monroe",25693,21881,455
"florida,nassau",42566,15564,681
"florida,okaloosa",79798,34248,2327
"florida,okeechobee",11470,4390,94
"florida,orange",245398,395014,6991
"florida,osceola",73480,97297,1659
"florida,palm beach",334711,433572,4875
"florida,pasco",179621,119073,3276
"florida,pinellas",276209,277450,6056
"florida,polk",194586,145049,3621
"florida,putnam",25514,10527,332
"florida,st. johns",110946,63850,1826
"florida,st. lucie",86831,84137,1201
"florida,santa rosa",77385,27612,1931
"florida,sarasota",148370,120110,2095
"florida,seminole",125241,132528,3046
"florida,sumter",62761,29341,383
"florida,suwannee",16410,4485,187
"florida,taylor",7751,2299,77
"florida,union",5133,1053,59
"florida,volusia",173821,130575,3043
"florida,wakulla",12874,5351,179
"florida,walton",32947,10338,426
"florida,washington",9876,2347,112
"georgia,appling",1784,6570,36
"georgia,atkinson",825,2300,30
"georgia,bacon",625,4017,25
"georgia,baker",652,897,6
"georgia,baldwin",9140,8903,218
"georgia,banks",932,7795,78
"georgia,barrow",10453,26804,689
"georgia,bartow",12091,37672,723
"georgia,ben hill",2393,4111,60
"georgia,berrien",1269,6419,56
"georgia,bibb",43408,26559,796
"georgia,bleckley",1312,4329,69
"georgia,brantley",700,6993,56
"georgia,brooks",2791,4261,49
"georgia,bryan",6738,14240,371
"georgia,bulloch",11248,18387,474
"georgia,burke",5208,5400,77
"georgia,butts",3274,8406,96
"georgia,calhoun",1263,923,12
"georgia,camden",7967,15249,482
"georgia,candler",1269,3133,29
"georgia,carroll",16236,37476,790
"georgia,catoosa",6932,25167,527
"georgia,charlton",1105,3419,44
"georgia,chatham",78247,53232,2005
"georgia,chattahoochee",667,880,35
"georgia,chattooga",1854,8064,135
"georgia,cherokee",42779,99585,2495
"georgia,clarke",36055,14450,916
"georgia,clay",791,637,8
"georgia,clayton",95466,15811,1114
"georgia,clinch",744,2105,13
"georgia,cobb",221847,165436,6739
"georgia,coffee",4511,10578,125
"georgia,colquitt",4190,11777,120
"georgia,columbia",29232,50013,1375
"georgia,cook",2059,4900,78
"georgia,coweta",24210,51501,1134
"georgia,crawford",1615,4428,59
"georgia,crisp",2982,4985,69
"georgia,dade",1261,6066,120
"georgia,dawson",2486,13398,200
"georgia,decatur",4782,6755,91
"georgia,dekalb",308162,58377,4338
"georgia,dodge",2172,5843,57
"georgia,dooly",1911,2159,36
"georgia,dougherty",24568,10441,281
"georgia,douglas",42814,25454,871
"georgia,early",2450,2710,28
"georgia,echols",167,1256,19
"georgia,effingham",7718,23361,500
"georgia,elbert",2879,6226,71
"georgia,emanuel",2886,6553,68
"georgia,evans",1324,2888,36
"georgia,fannin",2570,12169,110
"georgia,fayette",33062,37956,994
"georgia,floyd",11917,28906,542
"georgia,forsyth",42208,85123,2046
"georgia,franklin",1593,9069,105
"georgia,fulton",380212,137247,6472
"georgia,gilmer",2932,13429,166
"georgia,glascock",155,1402,8
"georgia,glynn",15882,25617,495
"georgia,gordon",4384,19405,255
"georgia,grady",3619,7034,54
"georgia,greene",4087,7066,94
"georgia,gwinnett",241994,166400,5956
"georgia,habersham",3562,16637,243
"georgia,hall",25033,64183,1386
"georgia,hancock",2976,1154,23
"georgia,haralson",1791,12330,127
"georgia,harris",5457,14319,226
"georgia,hart",3157,9465,112
"georgia,heard",824,4519,51
"georgia,henry",73443,48259,1314
"georgia,houston",32239,41540,1093
"georgia,irwin",1008,3134,26
"georgia,jackson",7642,29502,541
"georgia,jasper",1761,5822,64
"georgia,jeff davis",1028,4695,51
"georgia,jefferson",4058,3537,44
"georgia,jenkins",1266,2161,28
"georgia,johnson",1222,2850,28
"georgia,jones",4882,9940,118
"georgia,lamar",2620,6331,94
"georgia,lanier",1019,2509,48
"georgia,laurens",8074,14493,165
"georgia,lee",4558,12007,154
"georgia,liberty",13104,7959,331
"georgia,lincoln",1432,3173,36
"georgia,long",2035,3527,98
"georgia,lowndes",20116,25692,567
"georgia,lumpkin",3126,12163,256
"georgia,mcduffie",4168,6169,119
"georgia,mcintosh",2612,4016,68
"georgia,macon",2858,1783,22
"georgia,madison",3411,11326,208
"georgia,marion",1312,2275,39
"georgia,meriwether",4287,6524,69
"georgia,miller",748,2066,20
"georgia,mitchell",3993,4935,35
"georgia,monroe",4385,11057,150
"georgia,montgomery",980,2960,28
"georgia,morgan",3353,8231,126
"georgia,murray",2301,12944,150
"georgia,muscogee",49446,30107,975
"georgia,newton",29789,23869,605
"georgia,oconee",8162,16595,436
"georgia,oglethorpe",2439,5592,107
"georgia,paulding",29695,54517,1205
"georgia,peach",5922,6506,126
"georgia,pickens",2824,14110,238
"georgia,pierce",1100,7898,50
"georgia,pike",1505,9127,89
"georgia,polk",3657,13587,155
"georgia,pulaski",1230,2815,36
"georgia,putnam",3448,8291,118
"georgia,quitman",497,604,5
"georgia,rabun",1984,7474,116
"georgia,randolph",1671,1390,12
"georgia,richmond",59119,26780,1178
"georgia,rockdale",31237,13014,448
"georgia,schley",462,1800,13
"georgia,screven",2661,3915,53
"georgia,seminole",1256,2613,19
"georgia,spalding",11828,18104,287
"georgia,stephens",2386,9367,132
"georgia,stewart",1182,801,7
"georgia,sumter",6314,5733,103
"georgia,talbot",2114,1392,18
"georgia,taliaferro",561,360,7
"georgia,tattnall",2062,6054,71
"georgia,taylor",1388,2420,34
"georgia,telfair",1488,2825,22
"georgia,terrell",2376,2004,36
"georgia,thomas",8708,12969,200
"georgia,tift",5318,10784,178
"georgia,toombs",2938,7873,103
"georgia,towns",1550,6384,45
"georgia,treutlen",952,2101,24
"georgia,troup",11577,18142,338
"georgia,turner",1409,2349,33
"georgia,twiggs",2044,2370,30
"georgia,union",2800,12650,112
"georgia,upson",4203,8606,98
"georgia,walker",5770,23173,431
"georgia,walton",12683,37839,576
"georgia,ware",4169,9903,117
"georgia,warren",1468,1166,16
"georgia,washington",4743,4668,69
"georgia,wayne",2688,9987,107
"georgia,webster",640,748,3
"georgia,wheeler",689,1583,13
"georgia,white",2411,12222,198
"georgia,whitfield",10680,25644,442
"georgia,wilcox",861,2402,16
"georgia,wilkes",2160,2823,48
"georgia,wilkinson",2074,2665,31
"georgia,worth",2395,6830,60
"idaho,ada",130699,120539,8151
"idaho,adams",1941,591,54
"idaho,bannock",23331,14682,1758
"idaho,bear lake",2914,350,51
"idaho,benewah",3878,977,118
"idaho,bingham",15295,4124,675
"idaho,blaine",4032,8919,338
"idaho,boise",3485,1204,131
"idaho,bonner",18369,8310,673
"idaho,bonneville",37805,14254,1936
"idaho,boundary",4937,1220,156
"idaho,butte",1202,188,25
"idaho,camas",507,149,98
"idaho,canyon",61759,25881,2798
"idaho,caribou",2906,431,79
"idaho,cassia",7907,1464,272
"idaho,clark",264,41,6
"idaho,clearwater",3453,877,89
"idaho,custer",2089,603,47
"idaho,elmore",7246,2601,358
"idaho,franklin",5845,657,162
"idaho,fremont",5548,998,173
"idaho,gem",7951,1803,204
"idaho,gooding",4659,1256,135
"idaho,idaho county",7826,1561,215
"idaho,jefferson",12099,1661,413
"idaho,jerome",5734,1893,185
"idaho,kootenai",62837,24312,2729
"idaho,latah",9472,10236,862
"idaho,lemhi",3592,1032,114
"idaho,lewis",1489,349,32
"idaho,lincoln",1469,414,57
"idaho,madison",13559,2666,887
"idaho,minidoka",6265,1550,178
"idaho,nez perce",13738,6686,543
"idaho,oneida",2148,249,54
"idaho,owyhee",3819,816,107
"idaho,payette",8862,2161,270
"idaho,power",2116,865,105
"idaho,shoshone",4216,1693,140
"idaho,teton",2858,3318,171
"idaho,twin falls",25897,9391,1392
"idaho,valley",3947,2976,140
"idaho,washington",4154,1073,117
"illinois,adams",8633,24220,674
"illinois,alexander",1114,1486,18
"illinois,bond",2288,5625,231
"illinois,boone",10542,13883,554
"illinois,brown",486,1931,108
"illinois,bureau",6669,10411,354
"illinois,calhoun",677,2046,50
"illinois,carroll",2748,5105,171
"illinois,cass",1615,3625,86
"illinois,champaign",57067,35285,3216
"illinois,christian",4335,11563,306
"illinois,clark",1993,6226,136
"illinois,clay",1129,5629,141
"illinois,clinton",4493,14304,417
"illinois,coles",8067,14037,502
"illinois,cook",1725973,558269,37157
"illinois,crawford",2202,7043,196
"illinois,cumberland",1142,4601,107
"illinois,dekalb",24643,21905,1441
"illinois,dewitt",2191,5632,201
"illinois,douglas",2335,6227,198
"illinois,dupage",281222,193611,10231
"illinois,edgar",1887,6193,116
"illinois,edwards",488,2833,47
"illinois,effingham",3716,15006,361
"illinois,fayette",1826,8055,195
"illinois,ford",1754,5048,165
"illinois,franklin",4760,13622,287
"illinois,fulton",6503,9867,354
"illinois,gallatin",622,2019,34
"illinois,greene",1349,4770,108
"illinois,grundy",9626,16523,604
"illinois,hamilton",824,3432,67
"illinois,hancock",2315,6906,162
"illinois,hardin",449,1691,22
"illinois,henderson",1187,2394,75
"illinois,henry",9797,15300,603
"illinois,iroquois",2908,10877,259
"illinois,jackson",11181,10890,645
"illinois,jasper",1007,4494,85
"illinois,jefferson",4608,12476,352
"illinois,jersey",2961,8712,287
"illinois,jodaviess",5109,7166,220
"illinois,johnson",1281,5059,110
"illinois,kane",130166,96775,4935
"illinois,kankakee",20271,28532,1236
"illinois,kendall",33168,29492,1545
"illinois,knox",10703,12009,493
"illinois,lake",204032,123594,6530
"illinois,lasalle",22442,30113,1128
"illinois,lawrence",1419,4886,117
"illinois,lee",6407,9630,403
"illinois,livingston",4615,12208,351
"illinois,logan",3840,9136,318
"illinois,macon",19847,28589,951
"illinois,macoupin",7365,16153,552
"illinois,madison",57836,76031,3691
"illinois,marion",4524,12678,290
"illinois,marshall",2005,4197,143
"illinois,mason",1985,4654,127
"illinois,massac",1725,4997,96
"illinois,mcdonough",4992,7027,266
"illinois,mchenry",78154,82260,4164
"illinois,mclean",43933,40502,2954
"illinois,menard",2022,4764,168
"illinois,mercer",3280,5418,216
"illinois,monroe",6569,14142,495
"illinois,montgomery",3905,9544,312
"illinois,morgan",5076,9950,307
"illinois,moultrie",1662,4964,118
"illinois,ogle",9428,16248,664
"illinois,peoria",43578,38252,2143
"illinois,perry",2612,7313,146
"illinois,piatt",3329,6248,274
"illinois,pike",1484,6332,149
"illinois,pope",433,1722,20
"illinois,pulaski",891,1699,41
"illinois,putnam",1338,1993,59
"illinois,randolph",3592,11076,242
"illinois,richland",1830,6089,144
"illinois,rock island",36691,28603,1523
"illinois,saline",2789,8103,197
"illinois,sangamon",48917,53485,2349
"illinois,schuyler",1068,2773,77
"illinois,scott",572,2114,55
"illinois,shelby",2504,9426,167
"illinois,st. clair",68325,57150,2629
"illinois,stark",815,2004,67
"illinois,stephenson",9055,12521,472
"illinois,tazewell",24819,42513,1719
"illinois,union",2579,6161,164
"illinois,vermilion",10323,20725,594
"illinois,wabash",1253,4237,117
"illinois,warren",3090,4676,158
